{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 7, det_states: 9, det_time: 0, me_states: 9, me_time: 0  }
{ r: 5, n: 7, det_states: 145, det_time: 0, me_states: 121, me_time: 0  }
{ r: 3, n: 5, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 3, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 8, det_states: 174, det_time: 0, me_states: 171, me_time: 0  }
{ r: 3, n: 8, det_states: 382, det_time: 0, me_states: 266, me_time: 0  }
{ r: 3, n: 8, det_states: 384, det_time: 0, me_states: 265, me_time: 0  }
{ r: 3, n: 8, det_states: 436, det_time: 0, me_states: 363, me_time: 0  }
{ r: 3, n: 8, det_states: 712, det_time: 1, me_states: 541, me_time: 1  }
{ r: 4, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 4, n: 8, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 4, n: 8, det_states: 9, det_time: 0, me_states: 9, me_time: 0  }
{ r: 4, n: 8, det_states: 50, det_time: 0, me_states: 50, me_time: 0  }
{ r: 4, n: 8, det_states: 85, det_time: 0, me_states: 85, me_time: 0  }
{ r: 4, n: 8, det_states: 364, det_time: 0, me_states: 304, me_time: 0  }
{ r: 4, n: 8, det_states: 435, det_time: 1, me_states: 342, me_time: 0  }
{ r: 5, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 8, det_states: 11, det_time: 0, me_states: 11, me_time: 0  }
{ r: 5, n: 8, det_states: 28, det_time: 0, me_states: 28, me_time: 0  }
{ r: 5, n: 8, det_states: 27, det_time: 0, me_states: 27, me_time: 0  }
{ r: 5, n: 8, det_states: 55, det_time: 0, me_states: 55, me_time: 0  }
{ r: 5, n: 8, det_states: 456, det_time: 0, me_states: 315, me_time: 0  }
{ r: 5, n: 8, det_states: 392, det_time: 1, me_states: 311, me_time: 0  }
{ r: 3, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 9, det_states: 332, det_time: 0, me_states: 288, me_time: 0  }
{ r: 3, n: 9, det_states: 428, det_time: 1, me_states: 356, me_time: 0  }
{ r: 3, n: 9, det_states: 498, det_time: 1, me_states: 389, me_time: 1  }
{ r: 3, n: 9, det_states: 928, det_time: 2, me_states: 575, me_time: 1  }
{ r: 3, n: 9, det_states: 818, det_time: 2, me_states: 521, me_time: 1  }
{ r: 3, n: 9, det_states: 1376, det_time: 3, me_states: 806, me_time: 1  }
{ r: 4, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 4, n: 9, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 4, n: 9, det_states: 7, det_time: 0, me_states: 7, me_time: 0  }
{ r: 4, n: 9, det_states: 12, det_time: 0, me_states: 12, me_time: 0  }
{ r: 4, n: 9, det_states: 31, det_time: 0, me_states: 31, me_time: 0  }
{ r: 4, n: 9, det_states: 355, det_time: 2, me_states: 327, me_time: 1  }
{ r: 4, n: 9, det_states: 587, det_time: 3, me_states: 466, me_time: 1  }
{ r: 5, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 9, det_states: 6, det_time: 0, me_states: 6, me_time: 0  }
{ r: 5, n: 9, det_states: 23, det_time: 0, me_states: 23, me_time: 0  }
{ r: 5, n: 9, det_states: 770, det_time: 2, me_states: 681, me_time: 1  }
{ r: 5, n: 9, det_states: 1154, det_time: 4, me_states: 756, me_time: 2  }
